CONTENT,from_user_description
"RT @SirJadeja: Yes, #????_?????_??_???_??. Firki Of All Corrupts &amp; #BlackMoney Holders. Love To See #OppositionRattled By #DeMonetization !","I have great passion for Cricket & I am a massive Cricket enthusiast.|| Current Affairs|| #DieMannschaft ||
NAMO follower...MODIfied||
(Reckless Retweeter???)"
RT @syedsulaiman92: @TelanganaCMO to open 150 Centers of 5rs Meal Scheme on the rep. of @asadowaisi to minimize #Demonetization impact.htt,"IT Engr | Sales Support Specialist,Healthcare | Islamic | Proud Hindustani | Politics | AIMIM Worker| ????? ??????? ??????????? ????? ???? ??"
"RT @mdbaid: Incompetence of modi is d reason for national loss, occurred due to ill prepared #demonetization#???_???_??_????? https://t.co",am an agriculturist by proffession but by  choice a social activist & a staunch Congress supporter
The latest Awlwood Joinery Devon Times Daily! https://t.co/Y1i0ZsHw3b #demonetization #queues,"Devon Joinery manufacturer-high quality bespoke joinery in Oak-Hardwood- Windows, Doors, Staircases!        http://t.co/0l0j8dzH   https://t.co/9gPUcRCV"
The latest Business Breakthroughs Daily! https://t.co/ompAHsWDRy #demonetization #queues,"Business growth strategist to high tech & professional service CEOs. Founder, Rapid Rise Program. Host, My Quest for the Best interviews. Tennis enthusiast!"
RT @VijaiSardesai: Kudos to the #MargaoMunicipalCouncil for being the first civic body to pass a resolution against chaotic #Demonetization,"Photographer  People. Projects. Art. Travel.  Think, become ; Imagine, create!"
RT @dhume: Chhibber: By itself India's #demonetization won't hurt black money. But it will certainly hit economic growth. https://t.co/2EHs,"Gobar profile. I use cowdung back on my phone. Do you? Apolitical like Anupam Kher. Tilak, tarazu aur talwar, inko maro joote char."
RT @ajaymaken: #JanAkroshMarch on #DemonetizationMassive Protest March yesterday!Great enthusiasm!Many thanks to Congress workers and l,"State Vice President 
IT Cell ...HPCC
Haryana Pradesh Congress committee
 Senior vice-president
 Spokesperson
 coordinator
HPMC General Secretary"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (5/n) https://t.co/KSQtkRFAvZ,"Atheist, Straightforward , Horticulturist"
The latest My Forex Academy! https://t.co/m4ORjgGySp #theworldin #demonetization,information  trond.hov@gmail.com
I want to see this in my WhatsApp group. #Demonetization https://t.co/T2N7o32Ezb,Winner of the national procrastinator award.
RT @bsindia: #BharathBandh : #Opposition divided over ways to protest #demonetization today https://t.co/9lcHBuqMVa https://t.co/9U31soohOW,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,"Political revolution in Gujarat has begun. Gujarat jaldi badlega.
@AAPGujarat
https://t.co/RH0Gh7J1UU"
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,Piya Basanti Re...
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @NilimDutta: Swachh Bharat Abhiyan? #EpicFailMake in India? Epic FailSurgical Strike? Epic Fail#DeMonetization? Epic Fail,I dont consider myself to be the best and I dont like compliments they distract me .
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
RT @AAPGujarat: News in Print: AAP protests in Gujarat against #demonetization debacle (6/6) https://t.co/gikDcYQCqX,
